그룹,videoId,제목,채널,조회수,좋아요,댓글수,영상길이,게시일,썸네일
코스피 8000,We58TeX1rho,"코스피 8,000 돌파하자 대뜸 나타나 '우리 덕분'이라는 국힘 장동혁",정치셔틀,15991,1289,9,PT1M25S,2026-05-17T20:00:02Z,https://i.ytimg.com/vi/We58TeX1rho/mqdefault.jpg
코스피 8000,7RKbZiGlXCY,코스피 8000 돌파했는데 위험한 이유 #삼성노조 #이재명 #경제,더불어뉴스,15764,563,47,PT44S,2026-05-15T05:38:19Z,https://i.ytimg.com/vi/7RKbZiGlXCY/mqdefault.jpg
코스피 8000,yehQ3VvTnX8,"[투자의 눈] 코스피 8000 이후 증시 전망 / 삼성전자 SK하이닉스 삼성전기 / 현대차 LG전자 로보스타 / 미래에셋증권 키움증권 / 윤혜림 대표, 이건희 대표 / 매일경제TV",매일경제TV,14499,187,0,PT20M23S,2026-05-15T05:13:06Z,https://i.ytimg.com/vi/yehQ3VvTnX8/mqdefault.jpg
코스피 8000,oM5CzBZ3Jvs,"코스피 8,000 찍고 사이드카.. 글로벌 증시 폭락 시작됐나?",상승효과TV,14316,711,90,PT17M58S,2026-05-15T15:28:44Z,https://i.ytimg.com/vi/oM5CzBZ3Jvs/mqdefault.jpg
코스피 8000,_jlchn-NDU8,"5월15일(금)코스피8000 찍고, 그 다음 주목할 섹터는?#삼성전자 #sk하이닉스 #현대차 #무료검색기 #주식차트",알로비밀타점,11671,622,11,PT8H12M29S,2026-05-15T07:49:38Z,https://i.ytimg.com/vi/_jlchn-NDU8/mqdefault.jpg
코스피 8000,WrmQBFGAmp4,5월14일(목)코스피8000을 받아드리는 우리들의 자세!#삼성전자 #sk하이닉스 #현대차 #무료검색기 #주식차트,알로비밀타점,10883,692,1,PT6H31M18S,2026-05-14T06:43:20Z,https://i.ytimg.com/vi/WrmQBFGAmp4/mqdefault.jpg
코스피 8000,s3YmKtKR1G0,"코스피 8,000 결국엔 갑니다! 삼성전자·SK하이닉스는 계속 사세요 [염승환 LS증권 이사]",딜사이트경제TV,10313,222,4,PT10M11S,2026-05-12T04:00:48Z,https://i.ytimg.com/vi/s3YmKtKR1G0/mqdefault.jpg
코스피 8000,nBRG2uFpnLk,"코스피 8000 찍고 폭락, 지금이 저점매수 기회인 이유",경제학 똑똑,9181,121,11,PT19M26S,2026-05-18T13:25:11Z,https://i.ytimg.com/vi/nBRG2uFpnLk/mqdefault.jpg
코스피 8000,SSImIr0A1wk,"""오늘 최승호 한마디에 내 주식 계좌가 갈린다"" — 코스피 8,000에서 578포인트 폭락, JP모건 43조 경고 삼성전자 파업까지 터졌다",역사경제해결사,8721,453,47,PT20M6S,2026-05-12T21:00:20Z,https://i.ytimg.com/vi/SSImIr0A1wk/mqdefault.jpg
코스피 8000,pnQr74xpLgE,[속보] 코스피 8000 돌파 !!!!!!!!!!,1일0식 ,8556,1440,2,PT1H21M32S,2026-05-15T01:39:02Z,https://i.ytimg.com/vi/pnQr74xpLgE/mqdefault.jpg
코스피 8000,KF_S11vufls,"코스피 8,000 돌파! 반도체·현대차 주도주 총정리 l #삼성전자 #sk하이닉스",슈퍼개미 이세무사TV,7609,390,44,PT21M39S,2026-05-15T08:00:13Z,https://i.ytimg.com/vi/KF_S11vufls/mqdefault.jpg
