그룹,videoId,제목,채널,조회수,좋아요,댓글수,영상길이,게시일,썸네일
코스피 5000,JeohhRhSQyU,코스피 5000 효과... 연기금 고갈 안돼.. 이준석식 공포 마케팅도 종말,빛의 혁명:The Revolution of Light,132276,7413,271,PT1M,2026-01-24T11:04:28Z,https://i.ytimg.com/vi/JeohhRhSQyU/mqdefault.jpg
코스피 5000,C0xcwx2R7ZI,"코스피 5,000! 지금 들어가면 위험할까?",경제덕후 언쌤,129753,1434,157,PT2M36S,2026-01-22T09:44:29Z,https://i.ytimg.com/vi/C0xcwx2R7ZI/mqdefault.jpg
코스피 5000,j15sDwxKCpM,"국힘 '코스피 5,000 이재명 반성해라' 뭐??????",이슈카톡,124192,5423,1446,PT44S,2026-01-23T02:24:43Z,https://i.ytimg.com/vi/j15sDwxKCpM/mqdefault.jpg
코스피 5000,pYdcU_oPMFM,"코스피 5000 시대가 열렸다, 지금은 현금도 투자입니다 (윤지호 경제평론가)",김작가 TV,122461,2333,178,PT20M3S,2026-01-24T12:15:18Z,https://i.ytimg.com/vi/pYdcU_oPMFM/mqdefault.jpg
코스피 5000,njZ2PQMcPSY,코스피 5000은 끝이 아니다 '2월 주가 폭락설?' / 알테오젠  투매의 진실.. 쌍바닥 찍은 이주식 | 이권희 대표,815머니톡,121310,3274,101,PT23M44S,2026-01-22T06:32:56Z,https://i.ytimg.com/vi/njZ2PQMcPSY/mqdefault.jpg
코스피 5000,CVCJwtEOTZQ,사상 최대의 자본이동   코스피 5000~6000시대 핵심 주도주 정체,경제사냥꾼,106682,4018,241,PT12M3S,2026-01-22T10:25:59Z,https://i.ytimg.com/vi/CVCJwtEOTZQ/mqdefault.jpg
코스피 5000,_FmmRrEwwG8,"(속보) 코스피 5000 성공, 예상 이유와 이제 조심해야 할 것",전인구경제연구소,105455,3391,322,PT9M36S,2026-01-22T00:48:10Z,https://i.ytimg.com/vi/_FmmRrEwwG8/mqdefault.jpg
코스피 5000,fTqYrF-tq6Y,"코스피 5000 시대, 한국 자산 격차가 폭발하는 이유 : 주가 상승의 역설, 빈부격차는 왜 더 커질까? | 경읽남과 토론합시다 | 이광수 대표 1편",경제 읽어주는 남자(김광석TV),102662,4596,573,PT21M31S,2026-01-20T09:00:59Z,https://i.ytimg.com/vi/fTqYrF-tq6Y/mqdefault.jpg
코스피 5000,jxatGiv9HTU,"코스피 5000 목전에 급격 하락 가능성? ""그건 논리 모순"" 기자 질문 칼반박",엠키타카 MKTK,98182,2719,848,PT9M36S,2026-01-21T03:28:44Z,https://i.ytimg.com/vi/jxatGiv9HTU/mqdefault.jpg
코스피 5000,fwPTyj9X0GQ,[#탁현민의더뷰티플] 코스피 5000 못간다 했던 사람 누구? | 2026년 1월 25일 일요일 | 다시 130회,김어준의 겸손은힘들다 뉴스공장,97621,5929,55,PT1H58M4S,2026-01-25T03:00:15Z,https://i.ytimg.com/vi/fwPTyj9X0GQ/mqdefault.jpg
코스피 5000,hnhunqzvXV4,[속보] 코스피 개장직후 사상 첫 5000선 돌파..1년전 보다 2배 가까이 올라..李 대통령 공약 8개월만에 현실로 - [MBC 뉴스속보]  MBC뉴스 2026년 01월 22일,MBCNEWS,91949,1667,10,PT11H55M,2026-01-22T13:41:20Z,https://i.ytimg.com/vi/hnhunqzvXV4/mqdefault.jpg
코스피 5000,zJBlY11fRaY,"[오늘 이 뉴스] 코스피 5,000 장중 돌파 (2026.01.22/MBC뉴스)",MBCNEWS,91300,3430,1221,PT1M3S,2026-01-22T00:37:23Z,https://i.ytimg.com/vi/zJBlY11fRaY/mqdefault.jpg
코스피 5000,DDfg7L5GdbU,"코스피 5천 돌파, 나경원 드디어 등판 ""현금 살포, 연기금 동원해 지수 밀어 올려""｜지금 이 뉴스",JTBC News,90681,2029,3297,PT1M56S,2026-01-23T07:24:36Z,https://i.ytimg.com/vi/DDfg7L5GdbU/mqdefault.jpg
코스피 5000,3S2NySQF4Yc,"""국장 탈출은 지능순?"" 코스피 5000시대를 맞이하는 우리의 자세 #박시동",시동위키,80455,5013,206,PT18M56S,2026-01-22T08:00:08Z,https://i.ytimg.com/vi/3S2NySQF4Yc/mqdefault.jpg
코스피 5000,V4arTH8tAQ4,"코스피 장중 5,000선 돌파…""사상 최초"" 들썩 / SBS",SBS 뉴스,74580,876,1560,PT2M16S,2026-01-22T01:03:09Z,https://i.ytimg.com/vi/V4arTH8tAQ4/mqdefault.jpg
